Year,Diplomatic Missions,International Agreements,Foreign Visits by Officials,Foreign Delegations to Ukraine,Trade Agreements Signed
2024,85,101,49,35,22
2000,103,129,78,38,15
2001,98,133,54,21,28
2002,85,155,26,44,42
2003,98,114,47,43,21
2004,88,116,51,63,39
2005,100,120,57,67,35
2006,101,138,23,17,48
2007,97,133,34,31,9
2008,91,102,41,55,21
2009,91,115,37,14,48
2010,88,148,69,40,34
2011,107,138,74,28,39
2012,101,155,27,65,30
2013,93,141,50,14,29
2014,80,113,35,28,14
2015,90,106,40,40,32
2016,85,142,54,40,21
2017,88,146,28,51,10
2018,106,102,68,31,41
2019,104,152,61,29,20
2020,102,146,27,37,23
2021,98,147,77,30,20
2022,107,103,57,29,27
2023,103,106,56,48,24
2024,83,148,63,30,48
2000,82,159,67,63,43
2001,98,149,49,20,44
2002,88,143,28,41,30
2003,82,126,48,62,13
2004,83,157,31,22,20
2005,107,138,20,64,11
2006,106,156,78,33,31
2007,89,140,38,33,36
2008,108,157,33,62,24
2009,109,136,59,11,38
2010,81,115,52,38,32
2011,101,104,26,12,33
2012,108,151,70,52,24
2013,99,118,27,58,8
2014,87,156,77,44,18
2015,107,141,43,60,33
2016,93,132,55,19,46
2017,104,134,62,57,34
2018,99,104,55,47,34
2019,97,132,31,59,42
2020,95,126,25,39,10
2021,99,105,66,69,30
2022,90,110,27,22,18
2023,108,151,21,61,47
2024,81,107,44,42,10
2000,82,132,51,46,47
2001,85,125,41,26,7
2002,83,107,68,21,44
2003,96,140,60,26,20
2004,88,129,24,27,15
2005,84,109,32,59,6
2006,98,140,22,59,11
2007,97,142,59,67,26
2008,82,136,69,32,19
2009,90,113,33,37,35
2010,109,148,45,62,14
2011,105,122,23,52,14
2012,99,142,58,52,45
2013,83,111,34,36,15
2014,88,124,24,38,24
2015,92,146,56,40,24
2016,96,120,51,16,20
2017,90,137,63,34,28
2018,93,110,22,25,35
2019,96,139,27,35,8
2020,104,107,66,17,41
2021,91,122,23,25,36
2022,94,129,30,19,12
2023,87,131,35,59,26
2024,105,143,31,23,35
2000,99,133,66,25,13
2001,87,115,27,10,35
2002,95,148,35,59,41
2003,98,148,79,36,42
2004,99,100,78,55,30
2005,89,137,34,35,27
2006,108,103,67,60,35
2007,91,157,23,12,46
2008,94,142,75,21,42
2009,91,142,76,15,31
2010,98,158,48,42,15
2011,97,142,48,37,22
2012,109,150,33,66,20
2013,81,146,23,57,12
2014,83,123,77,40,6
2015,100,109,67,50,36
2016,87,141,79,55,16
2017,80,116,23,45,48
2018,99,142,51,48,24
2019,86,111,20,63,30
2020,107,144,43,64,43
2021,97,104,43,42,17
2022,93,120,48,57,34
2023,82,148,74,27,40
2024,85,138,47,32,29
2000,80,157,20,49,23
2001,108,104,52,19,5
2002,105,108,73,54,21
2003,100,119,43,69,15
2004,89,103,74,19,41
2005,109,121,76,19,12
2006,84,151,79,41,24
2007,83,112,51,52,32
2008,80,139,43,34,23
2009,104,108,43,55,38
2010,90,120,26,50,16
2011,82,135,40,21,24
2012,106,143,32,50,38
2013,108,136,69,42,10
2014,95,112,36,13,46
2015,82,135,47,31,32
2016,102,141,73,33,18
2017,109,122,69,34,28
2018,88,100,50,48,30
2019,95,134,56,61,19
2020,108,111,38,21,25
2021,92,119,71,47,20
2022,94,103,67,14,13
2023,85,111,27,66,12
2024,99,152,78,39,20
2000,99,136,59,31,44
2001,105,126,67,17,18
2002,104,131,65,49,49
2003,102,104,37,43,20
2004,82,112,48,17,44
2005,88,124,61,50,29
2006,105,139,53,31,18
2007,102,144,70,24,32
2008,103,137,55,11,16
2009,104,148,35,21,38
2010,105,150,74,41,22
2011,105,159,71,42,23
2012,99,127,28,60,11
2013,88,158,74,13,31
2014,98,136,77,13,10
2015,87,133,53,22,30
2016,92,116,70,43,41
2017,100,149,44,62,41
2018,106,115,66,49,39
2019,82,158,48,24,36
2020,91,142,40,44,6
2021,99,120,67,17,6
2022,82,109,43,63,28
2023,99,103,29,22,32
2024,99,157,48,41,49
2000,105,101,60,23,28
2001,106,153,28,25,22
2002,87,138,69,67,17
2003,92,150,71,16,37
2004,85,141,47,33,7
2005,80,145,60,25,5
2006,102,136,55,15,24
2007,108,124,33,66,6
2008,104,139,23,40,5
2009,80,100,73,31,46
2010,109,115,55,21,43
2011,82,154,37,33,10
2012,94,138,25,68,43
2013,103,141,75,67,6
2014,88,124,47,47,18
2015,109,116,30,52,6
2016,95,134,65,67,19
2017,102,120,45,52,19
2018,105,105,40,13,23
2019,88,114,78,57,15
2020,91,140,21,38,21
2021,82,136,59,68,10
2022,85,125,33,69,49
2023,93,152,65,37,27
2024,86,152,41,59,10
2000,92,132,47,32,22
2001,94,113,58,57,40
2002,100,146,79,28,29
2003,95,123,68,36,13
2004,83,150,24,68,39
2005,104,159,73,38,29
2006,96,147,23,63,30
2007,99,145,61,37,25
2008,109,135,26,35,31
2009,92,140,44,18,16
2010,84,100,22,19,35
2011,96,134,60,68,37
2012,107,139,30,27,28
2013,93,135,51,20,11
2014,100,152,23,57,26
2015,92,150,58,64,24
2016,92,113,55,16,24
2017,98,119,66,22,10
2018,85,110,46,68,25
2019,87,131,20,15,9
2020,101,119,69,40,8
2021,108,115,38,54,16
2022,94,119,57,39,31
2023,84,105,32,19,19
2024,92,110,31,59,28
2000,109,153,66,49,18
2001,101,101,71,68,45
2002,100,127,75,10,10
2003,96,123,30,12,18
2004,108,107,69,63,13
2005,98,123,63,61,9
2006,81,121,31,36,18
2007,85,115,67,22,22
2008,86,125,68,43,37
2009,86,102,75,65,29
2010,106,150,43,50,5
2011,108,150,23,61,45
2012,106,118,39,59,19
2013,96,138,60,33,38
2014,107,102,44,41,47
2015,86,101,55,18,32
2016,85,136,59,12,43
2017,86,136,54,27,17
2018,108,127,27,54,11
2019,86,159,79,63,36
2020,109,116,52,45,15
2021,83,115,59,40,45
2022,86,135,77,23,36
2023,91,130,49,48,38
2024,104,153,25,38,40
2000,89,107,27,19,44
2001,91,110,51,21,7
2002,80,158,59,58,15
2003,101,151,54,17,14
2004,89,105,48,38,27
2005,106,126,33,25,34
2006,81,104,50,40,45
2007,85,141,73,22,16
2008,81,139,45,27,10
2009,83,105,33,61,41
2010,87,113,59,50,36
2011,102,139,59,47,45
2012,103,138,54,19,8
2013,89,147,39,39,41
2014,83,106,20,69,43
2015,92,154,58,39,26
2016,82,151,46,21,19
2017,99,132,67,37,16
2018,102,130,26,35,23
2019,102,155,49,54,17
2020,108,108,36,31,26
2021,95,103,43,41,39
2022,104,134,28,23,10
2023,93,144,64,42,48
2024,89,143,41,55,33
2000,96,131,77,41,12
2001,91,159,52,60,26
2002,103,144,55,65,39
2003,83,155,48,41,23
2004,109,107,79,48,5
2005,84,130,54,27,10
2006,91,116,78,13,37
2007,81,140,47,64,30
2008,100,118,73,42,16
2009,85,103,75,57,10
2010,105,146,65,41,38
2011,109,103,47,17,41
2012,80,149,65,44,12
2013,95,119,76,67,22
2014,104,156,49,66,23
2015,104,132,71,28,44
2016,98,118,45,30,42
2017,94,103,43,52,7
2018,103,112,60,63,16
2019,88,102,48,38,27
2020,99,157,51,20,44
2021,104,115,21,14,49
2022,81,132,64,13,32
2023,93,106,34,25,39
2024,98,143,54,32,30
2000,91,159,21,48,40
2001,109,102,29,46,24
2002,107,136,28,50,14
2003,84,154,66,59,34
2004,103,144,64,43,29
2005,81,144,72,62,13
2006,103,138,59,50,12
2007,100,126,58,63,40
2008,102,100,70,54,21
2009,102,106,31,27,39
2010,81,156,72,21,33
2011,87,100,26,60,17
2012,100,112,64,31,10
2013,88,105,65,61,6
2014,98,129,70,53,46
2015,83,120,69,23,18
2016,108,146,50,38,13
2017,86,117,31,15,12
2018,86,120,43,44,43
2019,103,153,69,59,49
2020,101,122,52,57,40
2021,95,132,32,20,10
2022,83,116,78,58,37
2023,85,132,68,17,41
2024,101,145,67,66,12
2000,81,104,77,67,12
2001,101,115,65,15,23
2002,81,146,71,44,7
2003,106,156,65,42,11
2004,105,121,32,37,11
2005,96,126,70,60,19
2006,94,101,32,51,20
2007,100,128,49,57,48
2008,106,122,61,45,37
2009,91,113,38,38,29
2010,86,147,33,32,40
2011,91,125,71,18,46
2012,105,125,32,35,32
2013,92,115,55,23,13
2014,89,136,60,64,23
2015,80,156,27,67,39
2016,102,117,76,66,13
2017,86,154,29,55,15
2018,83,126,68,50,25
2019,84,154,44,57,22
2020,80,117,23,52,44
2021,95,117,27,42,29
2022,86,134,41,26,6
2023,96,133,30,68,23
2024,82,148,76,68,23
2000,91,122,55,30,36
2001,85,116,33,32,44
2002,96,117,24,50,29
2003,104,144,27,63,10
2004,85,139,38,49,31
2005,99,155,36,67,12
2006,94,116,33,47,11
2007,93,114,20,67,31
2008,100,106,77,20,14
2009,88,151,50,63,6
2010,109,135,60,68,44
2011,106,150,77,33,32
2012,106,128,44,44,8
2013,106,121,37,44,31
2014,106,133,74,13,25
2015,87,124,66,56,49
2016,108,126,36,52,16
2017,98,136,72,61,38
2018,98,139,59,31,43
2019,92,105,46,63,13
2020,105,136,21,44,40
2021,95,125,60,64,17
2022,92,115,51,24,40
2023,86,135,76,10,8
2024,102,102,77,20,35
2000,92,107,41,47,41
2001,96,141,24,32,18
2002,102,103,60,25,28
2003,102,133,67,24,30
2004,88,151,47,69,40
2005,102,157,59,47,19
2006,93,120,75,20,16
2007,100,120,44,67,40
2008,98,107,23,19,21
2009,100,145,60,34,37
2010,109,158,35,40,18
2011,105,115,27,26,5
2012,93,127,71,25,27
2013,86,120,64,49,9
2014,92,139,74,67,12
2015,103,154,61,54,49
2016,97,128,55,69,10
2017,95,157,63,13,46
2018,104,117,33,63,49
2019,99,126,32,60,26
2020,103,151,49,50,17
2021,81,142,72,26,42
2022,105,156,47,23,32
2023,88,150,71,25,18
2024,80,112,76,46,38
2000,102,144,35,27,38
2001,81,147,26,11,49
2002,101,119,21,58,31
2003,83,114,30,34,31
2004,109,105,44,25,8
2005,84,135,38,61,46
2006,108,126,71,66,9
2007,109,137,42,35,6
2008,83,155,37,51,28
2009,88,113,72,23,17
2010,103,130,40,42,5
2011,95,118,66,51,32
2012,109,108,49,31,18
2013,103,147,75,64,34
2014,109,113,42,42,39
2015,109,113,59,57,15
2016,84,108,33,17,19
2017,98,129,55,42,22
2018,84,151,79,50,22
2019,96,132,22,22,33
2020,91,118,68,60,30
2021,92,123,20,62,28
2022,95,137,35,24,7
2023,80,149,32,44,18
2024,99,128,30,47,46
2000,83,124,49,20,8
2001,82,147,57,18,30
2002,97,111,64,43,38
2003,102,111,69,34,25
2004,90,128,36,45,20
2005,88,103,26,24,48
2006,85,118,35,49,17
2007,94,158,41,53,17
2008,89,116,78,21,45
2009,109,111,39,23,10
2010,109,104,36,21,33
2011,97,113,64,46,34
2012,85,121,58,40,46
2013,104,113,54,44,10
2014,85,145,57,29,25
2015,94,106,71,41,45
2016,88,100,47,29,45
2017,109,119,31,63,21
2018,93,124,45,68,45
2019,101,135,33,29,12
2020,80,126,56,39,25
2021,85,108,21,30,30
2022,82,106,79,64,9
2023,94,151,73,41,23
2024,81,156,61,63,27
2000,109,123,64,40,9
2001,87,139,55,29,12
2002,90,105,65,62,11
2003,105,157,77,30,47
2004,104,141,51,52,30
2005,108,104,32,54,47
2006,88,116,75,25,24
2007,87,146,54,12,14
2008,107,155,53,11,18
2009,89,123,28,29,14
2010,89,113,56,37,11
2011,98,131,41,41,41
2012,109,151,48,24,39
2013,93,158,46,21,42
2014,86,143,71,15,21
2015,98,142,43,49,28
2016,109,127,55,16,15
2017,105,148,53,59,26
2018,91,113,25,13,41
2019,88,121,73,30,9
2020,98,153,27,37,19
2021,96,135,54,35,14
2022,85,117,68,55,25
2023,83,115,46,58,39
2024,109,136,73,28,19
2000,108,151,45,29,11
2001,92,146,45,43,14
2002,96,140,32,18,47
2003,102,102,66,47,8
2004,83,138,23,62,34
2005,88,118,57,60,12
2006,91,155,20,45,10
2007,90,132,74,27,25
2008,109,158,43,63,7
2009,97,115,26,30,15
2010,89,104,55,22,18
2011,99,148,22,25,33
2012,85,119,38,69,9
2013,108,102,59,57,23
2014,100,119,64,14,5
2015,80,141,39,49,43
2016,95,118,28,34,20
2017,92,158,63,64,19
2018,103,117,32,12,38
2019,81,110,74,59,47
2020,92,106,31,50,25
2021,82,102,74,45,42
2022,80,138,67,56,9
2023,92,111,48,27,34
2024,86,107,31,23,46
2000,91,107,24,54,13
2001,84,107,25,54,41
2002,84,114,28,18,38
2003,87,132,54,49,33
2004,96,120,32,15,29
2005,87,132,54,28,16
2006,100,103,26,63,38
2007,95,134,50,18,9
2008,85,142,58,19,41
2009,103,112,36,45,13
2010,104,142,39,31,45
2011,86,118,41,59,37
2012,87,118,63,44,40
2013,109,141,74,42,29
2014,109,149,57,61,38
2015,107,135,57,59,13
2016,86,120,77,32,35
2017,89,105,53,13,10
2018,85,146,48,46,33
2019,96,128,54,44,34
2020,82,123,30,67,28
2021,82,107,68,42,16
2022,105,140,76,25,36
2023,86,149,72,58,48
2024,100,113,22,42,22
2000,91,127,47,49,37
2001,107,122,49,49,5
2002,103,135,58,21,30
2003,87,158,69,51,37
2004,104,127,35,45,10
2005,101,103,42,24,12
2006,102,112,57,67,5
2007,109,111,55,64,39
2008,95,116,22,48,15
2009,85,148,78,32,34
2010,106,114,26,43,14
2011,93,130,60,32,21
2012,99,119,56,33,5
2013,102,141,22,33,31
2014,90,134,58,29,5
2015,102,140,54,65,45
2016,108,147,47,53,37
2017,102,146,28,29,23
2018,97,155,51,58,28
2019,102,155,62,46,43
2020,109,100,30,37,5
2021,92,132,54,35,12
2022,88,154,57,45,38
2023,101,103,20,22,20
2024,89,141,23,21,42
2000,99,137,26,55,33
2001,109,117,79,21,33
2002,86,113,52,34,22
2003,93,144,67,67,32
2004,97,106,78,39,29
2005,93,141,42,60,21
2006,107,150,22,20,5
2007,83,120,25,58,11
2008,95,129,53,44,11
2009,103,141,51,40,43
2010,81,119,57,53,42
2011,93,130,75,11,29
2012,93,157,42,43,8
2013,106,144,78,28,12
2014,99,155,57,51,43
2015,105,136,28,66,41
2016,84,111,49,58,49
2017,101,145,28,18,12
2018,80,132,20,57,46
2019,82,129,78,17,41
2020,94,106,40,20,36
2021,108,140,60,16,17
2022,83,115,29,60,11
2023,106,109,39,19,43
2024,89,130,31,27,47
2000,96,133,66,20,13
2001,80,122,49,55,36
2002,80,108,57,18,11
2003,83,152,77,65,37
2004,105,121,24,15,8
2005,91,110,30,29,48
2006,101,113,51,66,37
2007,104,127,79,67,29
2008,109,100,43,48,43
2009,105,125,73,11,44
2010,109,112,31,69,27
2011,91,114,75,28,15
2012,90,148,36,41,25
2013,98,141,47,62,10
2014,109,159,47,66,23
2015,107,133,57,57,37
2016,96,109,64,11,8
2017,82,149,45,58,24
2018,102,139,68,51,43
2019,102,108,61,62,14
2020,97,153,29,39,9
2021,86,150,64,15,10
2022,105,137,27,36,21
2023,96,153,65,22,34
2024,93,104,35,29,36
2000,80,146,29,28,49
2001,97,128,74,29,41
2002,108,138,60,44,15
2003,107,112,71,37,33
2004,87,124,28,67,33
2005,105,156,55,53,5
2006,87,111,71,63,39
2007,94,115,44,19,19
2008,92,107,77,18,8
2009,99,128,34,65,41
2010,87,117,73,22,48
2011,89,116,29,64,15
2012,101,112,33,31,48
2013,101,117,24,11,29
2014,85,121,58,68,49
2015,91,145,21,30,33
2016,106,144,61,19,17
2017,101,102,75,46,32
2018,88,128,26,34,21
2019,100,103,68,37,48
2020,92,108,58,60,44
2021,107,145,62,27,19
2022,101,119,77,20,36
2023,94,111,35,18,45
2024,80,115,40,49,27
2000,108,135,74,45,30
2001,89,151,56,16,20
2002,88,114,61,42,6
2003,91,156,76,43,19
2004,108,151,40,55,24
2005,94,125,27,22,31
2006,85,133,27,45,7
2007,81,146,62,42,23
2008,89,157,48,63,17
2009,104,108,65,19,27
2010,93,140,70,23,40
2011,91,129,47,33,35
2012,90,123,78,64,21
2013,93,135,39,63,7
2014,103,117,43,16,43
2015,82,145,41,40,13
2016,96,133,50,60,15
2017,105,147,73,29,9
2018,96,137,64,33,46
2019,100,134,34,17,19
2020,108,113,36,59,39
2021,106,147,47,47,46
2022,101,138,28,57,47
2023,103,147,71,14,19
2024,107,105,40,21,24
2000,86,119,21,46,5
2001,90,133,44,33,42
2002,80,153,73,21,18
2003,94,127,44,52,43
2004,105,109,40,66,9
2005,97,144,46,50,30
2006,106,123,68,57,16
2007,90,138,76,44,34
2008,101,156,54,29,39
2009,90,110,46,55,38
2010,90,114,30,29,48
2011,81,132,30,13,20
2012,105,107,66,12,12
2013,99,102,67,45,26
2014,82,113,51,64,12
2015,106,126,32,23,45
2016,101,101,69,32,26
2017,93,118,62,11,10
2018,104,131,59,61,45
2019,80,138,21,60,34
2020,84,114,47,25,26
2021,87,159,54,59,26
2022,108,139,45,16,13
2023,109,147,70,30,9
2024,101,156,34,63,36
2000,88,146,73,28,46
2001,101,119,23,68,11
2002,96,153,68,45,42
2003,88,102,44,22,44
2004,100,149,73,61,16
2005,104,142,68,38,29
2006,85,137,40,29,44
2007,80,147,71,26,24
2008,106,102,21,65,24
2009,107,158,61,33,40
2010,96,118,42,54,48
2011,95,103,39,58,9
2012,96,111,58,62,5
2013,97,142,58,65,47
2014,100,114,34,22,27
2015,100,122,63,18,40
2016,103,137,52,61,36
2017,91,150,70,19,41
2018,90,125,25,43,8
2019,91,151,78,44,37
2020,93,125,27,62,40
2021,90,102,62,59,39
2022,85,131,75,21,19
2023,97,118,68,67,13
2024,105,152,74,60,45
2000,83,141,35,69,31
2001,86,139,42,44,23
2002,86,132,24,36,25
2003,95,125,21,39,10
2004,93,144,30,38,44
2005,88,119,78,51,21
2006,92,114,39,33,46
2007,100,134,64,24,7
2008,100,105,63,44,31
2009,109,129,35,35,48
2010,85,137,39,42,5
2011,88,153,42,37,46
2012,89,100,32,54,30
2013,100,142,63,15,34
2014,109,110,79,52,7
2015,105,121,61,51,23
2016,82,116,52,37,41
2017,94,146,44,40,35
2018,93,121,42,36,16
2019,108,117,66,67,30
2020,80,122,47,63,6
2021,91,149,25,18,9
2022,108,127,20,40,12
2023,81,131,53,10,43
2024,81,118,65,40,44
2000,83,136,63,40,12
2001,90,132,49,56,34
2002,86,149,29,13,37
2003,98,110,27,36,42
2004,107,103,69,13,39
2005,101,107,53,62,32
2006,103,144,74,45,33
2007,101,142,22,19,25
2008,95,148,39,39,45
2009,109,146,68,19,32
2010,108,155,41,62,44
2011,104,150,34,10,20
2012,95,141,77,48,35
2013,106,129,30,37,33
2014,82,143,67,43,46
2015,102,119,33,34,45
2016,85,112,33,49,16
2017,81,153,65,37,28
2018,98,113,53,30,19
2019,106,148,79,36,7
2020,100,154,67,64,25
2021,84,105,38,53,16
2022,86,128,34,31,31
2023,87,131,67,42,5
2024,106,105,24,14,11
2000,107,136,78,62,27
2001,91,118,44,36,28
2002,97,119,26,14,36
2003,89,124,54,28,33
2004,86,132,61,29,30
2005,80,127,26,58,40
2006,93,105,33,26,13
2007,87,117,63,58,22
2008,101,128,22,62,8
2009,88,123,77,66,44
2010,80,149,48,43,39
2011,106,158,74,61,19
2012,83,110,63,13,18
2013,85,134,59,45,24
2014,85,123,65,41,10
2015,109,104,51,40,48
2016,84,143,51,59,30
2017,105,116,25,41,5
2018,88,103,70,47,28
2019,103,134,79,16,46
2020,108,119,32,24,31
2021,107,106,29,66,49
2022,82,133,27,44,18
2023,109,153,77,15,5
2024,109,114,26,54,45
2000,97,146,65,66,28
2001,109,138,38,48,19
2002,81,127,64,51,44
2003,90,100,63,23,36
2004,109,137,48,52,31
2005,97,153,72,50,22
2006,93,127,76,45,34
2007,100,159,20,11,14
2008,92,132,23,69,6
2009,80,112,61,17,35
2010,93,126,47,27,38
2011,84,146,76,27,9
2012,102,131,67,39,44
2013,86,153,61,48,47
2014,87,144,63,41,40
2015,103,102,68,11,45
2016,106,144,58,52,47
2017,98,120,22,36,29
2018,107,141,23,37,46
2019,102,150,36,29,40
2020,90,149,29,61,44
2021,84,157,64,12,8
2022,105,148,26,17,42
2023,88,122,42,30,26
2024,98,110,40,12,10
2000,96,148,61,48,20
2001,108,119,56,54,38
2002,85,116,47,21,11
2003,92,151,72,46,37
2004,107,153,76,45,20
2005,103,114,68,53,37
2006,94,118,40,41,15
2007,82,138,47,50,13
2008,92,157,58,47,8
2009,95,138,63,15,9
2010,107,136,51,28,44
2011,86,134,68,28,30
2012,87,107,58,64,26
2013,86,143,73,61,21
2014,103,107,66,54,42
2015,97,135,77,50,32
2016,80,159,42,54,41
2017,83,131,23,66,47
2018,82,102,57,62,21
2019,83,154,54,46,23
2020,104,136,40,51,6
2021,87,143,38,49,32
2022,108,122,62,11,31
2023,95,155,22,26,26
2024,92,147,54,12,30
2000,81,105,69,60,49
2001,108,142,72,61,36
2002,82,145,73,62,24
2003,90,133,47,27,9
2004,109,107,38,13,40
2005,86,104,61,14,32
2006,105,124,60,14,31
2007,91,142,36,23,38
2008,87,106,39,66,32
2009,100,145,33,59,48
2010,102,141,33,52,42
2011,98,120,62,60,22
2012,95,106,69,68,14
2013,95,142,41,34,49
2014,105,154,54,65,6
2015,95,128,29,55,32
2016,80,113,57,23,37
2017,82,112,30,51,7
2018,84,129,70,67,35
2019,95,113,63,41,32
2020,95,149,63,57,13
2021,80,114,68,51,32
2022,109,112,60,56,46
2023,109,137,41,42,8
2024,109,125,29,15,28
2000,108,100,55,11,46
2001,80,115,21,21,10
2002,82,143,42,68,46
2003,82,153,58,15,36
2004,103,143,51,21,14
2005,84,121,60,19,31
2006,89,121,48,25,25
2007,89,127,30,53,34
2008,80,123,76,60,25
2009,88,154,53,33,30
2010,85,104,41,21,22
2011,81,135,22,29,32
2012,81,158,43,18,47
2013,105,104,64,38,26
2014,96,158,69,23,5
2015,106,106,59,21,20
2016,80,120,43,36,34
2017,105,122,50,31,49
2018,96,140,73,12,42
2019,89,152,37,60,33
2020,82,127,21,50,23
2021,86,109,32,69,19
2022,86,117,27,16,46
2023,99,102,26,23,44
2024,94,109,48,68,39
2000,107,105,67,66,20
2001,99,121,58,16,31
2002,101,127,79,64,43
2003,107,113,54,64,17
2004,93,102,35,24,22
2005,81,134,58,47,35
2006,92,112,43,66,5
2007,96,141,70,37,41
2008,92,117,55,67,48
2009,96,152,47,36,29
2010,106,153,20,36,27
2011,81,126,35,21,5
2012,108,122,44,50,32
2013,84,148,73,38,21
2014,99,115,30,29,6
2015,105,132,54,29,33
2016,94,142,52,28,25
2017,108,143,67,46,49
2018,85,158,67,10,30
2019,107,120,64,25,12
2020,87,147,71,57,41
2021,83,143,70,58,14
2022,102,152,75,13,27
2023,100,150,68,40,13
2024,102,155,78,20,30
2000,100,102,75,19,44
2001,92,155,62,16,44
2002,81,117,64,30,37
2003,81,143,50,58,30
2004,91,115,77,47,30
2005,85,154,22,23,17
2006,100,136,69,57,20
2007,107,117,61,31,38
2008,83,120,61,11,45
2009,80,155,74,40,30
2010,102,145,44,65,36
2011,83,101,51,50,42
2012,107,143,78,19,31
2013,100,142,71,33,19
2014,83,152,39,41,23
2015,104,152,58,11,31
2016,107,159,56,67,41
2017,84,144,28,36,12
2018,102,119,42,30,30
2019,101,133,28,44,33
2020,109,133,62,10,22
2021,106,141,34,58,19
2022,94,123,51,52,32
2023,88,143,77,21,23
2024,91,117,35,42,6
2000,89,129,31,64,13
2001,89,125,79,65,7
2002,99,147,39,44,34
2003,109,117,39,68,35
2004,101,115,39,10,44
2005,109,128,48,23,5
2006,88,106,77,21,32
2007,96,122,48,10,15
2008,105,145,23,63,32
2009,82,128,76,19,39
2010,100,102,78,68,49
2011,99,112,35,32,48
2012,91,151,42,57,23
2013,93,153,47,65,17
2014,87,134,60,28,26
2015,84,154,38,47,19
2016,101,140,36,12,45
2017,95,114,26,20,27
2018,89,126,44,65,49
2019,102,114,50,22,49
2020,104,129,65,48,12
2021,101,129,58,50,33
2022,93,144,71,31,27
2023,101,101,38,42,5
2024,98,126,53,44,40
2000,85,141,44,35,12
2001,105,154,34,33,45
2002,107,119,69,30,32
2003,86,148,35,33,20
2004,86,106,72,19,5
2005,98,118,72,11,5
2006,93,138,34,52,12
2007,107,136,71,21,32
2008,98,132,20,31,48
2009,97,103,70,58,20
2010,93,158,49,14,31
2011,100,120,66,23,35
2012,88,112,21,61,5
2013,96,151,25,59,28
2014,104,117,75,21,27
2015,106,111,70,37,20
2016,107,121,20,31,13
2017,80,154,55,63,39
2018,91,156,46,53,24
2019,88,104,31,60,11
2020,97,142,52,68,18
2021,88,159,68,52,12
2022,101,149,29,45,44
2023,101,109,32,44,46
2024,103,133,55,19,36
2000,95,145,54,33,13
2001,102,155,77,55,34
2002,87,112,26,38,10
2003,98,107,33,38,19
2004,89,123,24,65,5
2005,93,112,40,27,38
2006,91,150,29,47,34
2007,86,107,24,40,12
2008,105,151,75,67,12
2009,105,152,38,66,42
2010,94,140,57,65,25
2011,106,149,46,49,12
2012,97,109,75,48,42
2013,85,134,76,65,44
2014,86,142,70,68,32
2015,95,115,56,14,29
2016,93,143,29,18,47
2017,100,143,24,35,44
2018,95,145,38,18,10
2019,85,140,28,24,10
2020,81,125,47,27,10
2021,108,126,41,22,48
2022,97,122,27,20,19
2023,107,152,43,64,25
2024,108,106,51,46,43
2000,105,133,27,55,36
2001,96,101,74,20,32
2002,99,123,73,21,40
2003,84,130,26,39,11
2004,92,131,40,13,43
2005,84,105,65,31,25
2006,81,120,30,60,35
2007,95,149,49,67,41
2008,104,105,75,23,40
2009,88,147,75,35,37
2010,105,103,40,64,37
2011,95,147,42,38,24
2012,108,130,58,52,19
2013,97,153,47,53,20
2014,88,139,64,30,20
2015,93,112,24,56,49
2016,91,123,54,21,13
2017,85,118,71,15,20
